Date,Last
03/01/2000,1422.18
04/01/2000,1378.31
05/01/2000,1359.54
06/01/2000,1344.06
07/01/2000,1375.88
10/01/2000,1391.11
11/01/2000,1386.34
12/01/2000,1377.98
13/01/2000,1390.3
14/01/2000,1402.14
17/01/2000,1408.31
18/01/2000,1391.6
19/01/2000,1386.18
20/01/2000,1380.78
21/01/2000,1376.52
24/01/2000,1357.16
25/01/2000,1352.8
26/01/2000,1355.46
27/01/2000,1357.12
28/01/2000,1334.47
31/01/2000,1338.25
01/02/2000,1348.85
02/02/2000,1356.33
03/02/2000,1378.74
04/02/2000,1380.88
07/02/2000,1374.92
08/02/2000,1391.96
09/02/2000,1381.36
10/02/2000,1379.69
11/02/2000,1365
14/02/2000,1359.94
15/02/2000,1353.77
16/02/2000,1350.4
17/02/2000,1356.94
18/02/2000,1333.48
21/02/2000,1323.54
22/02/2000,1330.4
23/02/2000,1342
24/02/2000,1337.98
25/02/2000,1332.04
28/02/2000,1330.35
29/02/2000,1340.58
01/03/2000,1359.03
02/03/2000,1370.66
03/03/2000,1383.94
06/03/2000,1375.61
07/03/2000,1356.14
08/03/2000,1354.19
09/03/2000,1375.57
10/03/2000,1373.68
13/03/2000,1353.89
14/03/2000,1342.83
15/03/2000,1348.61
16/03/2000,1392.79
17/03/2000,1399.44
20/03/2000,1402.37
21/03/2000,1421.68
22/03/2000,1421.47
23/03/2000,1436.53
24/03/2000,1447.93
27/03/2000,1448.76
28/03/2000,1445.78
29/03/2000,1443.74
30/03/2000,1419.58
31/03/2000,1431.94
03/04/2000,1426.94
04/04/2000,1420.99
05/04/2000,1411.03
06/04/2000,1421.05
07/04/2000,1432.62
10/04/2000,1429.58
11/04/2000,1417.99
12/04/2000,1402.15
13/04/2000,1384.06
14/04/2000,1329.98
17/04/2000,1333.9
18/04/2000,1360.99
19/04/2000,1357.04
20/04/2000,1362.99
21/04/2000,1362.52
24/04/2000,1363.39
25/04/2000,1384.11
26/04/2000,1379.56
27/04/2000,1369.97
28/04/2000,1370.11
01/05/2000,1379.51
02/05/2000,1378.14
03/05/2000,1348.08
04/05/2000,1345.56
05/05/2000,1357.15
08/05/2000,1348.43
09/05/2000,1335.83
10/05/2000,1317.04
11/05/2000,1327.87
12/05/2000,1344.75
15/05/2000,1352.21
16/05/2000,1369.78
17/05/2000,1345.57
18/05/2000,1340.34
19/05/2000,1314.59
22/05/2000,1302.55
23/05/2000,1295.39
24/05/2000,1300.42
25/05/2000,1301.02
26/05/2000,1302.29
29/05/2000,1307.96
30/05/2000,1337.95
31/05/2000,1334.14
01/06/2000,1356.12
02/06/2000,1390.18
05/06/2000,1388.46
06/06/2000,1390.11
07/06/2000,1391.89
08/06/2000,1385.37
09/06/2000,1379.61
12/06/2000,1376.86
13/06/2000,1387.1
14/06/2000,1390.05
15/06/2000,1385.13
16/06/2000,1380.48
19/06/2000,1392.61
20/06/2000,1394.38
21/06/2000,1390.58
22/06/2000,1374.65
23/06/2000,1365.73
26/06/2000,1368.01
27/06/2000,1369.55
28/06/2000,1376.13
29/06/2000,1366.25
30/06/2000,1377.72
03/07/2000,1388.85
04/07/2000,1388.26
05/07/2000,1376.18
06/07/2000,1378.76
07/07/2000,1394.35
10/07/2000,1395.88
11/07/2000,1396.12
12/07/2000,1400.19
13/07/2000,1395.93
14/07/2000,1404.51
17/07/2000,1405.83
18/07/2000,1389.23
19/07/2000,1381.31
20/07/2000,1391.49
21/07/2000,1377.75
24/07/2000,1369.57
25/07/2000,1374.14
26/07/2000,1364.08
27/07/2000,1353.73
